Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Europe & Central Asia (excluding high income),ECA,..,3.46928000450134,4.30550003051758,4.44612503051758,3.9677050113678,4.095134973526,4.04449987411499,4.38613486289978,4.13580989837646,3.66751503944397,3.70918011665344,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,..,3.4301700592041,4.0697649717331,4.26451015472412,4.07755994796753,4.05202007293701,3.99502992630005,4.40854978561401,4.11373496055603,3.90450382025902,3.93686432529785,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,European Union,EUU,4.57794499397278,4.86840009689331,4.8942699432373,4.8338451385498,4.64757013320923,4.59164500236511,4.62736988067627,4.93079495429992,4.79329490661621,4.65508985519409,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Fragile and conflict affected situations,FCS,..,..,3.2558000087738,2.95843005180359,3.05962991714477,2.77167010307312,3.14728181647774,3.37838750148121,3.14335470187693,..,2.33451767489177,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Heavily indebted poor countries (HIPC),HPC,..,2.46335005760193,3.57062494754792,3.28257989883423,3.53558993339539,3.38626492023468,3.33011705158194,3.40915991351725,3.31281536274069,3.0972642678305,3.24413772101569,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,High income,HIC,..,4.65878009796143,4.77452993392944,4.79984998703003,4.68990993499756,4.62343978881836,4.62793493270874,4.87601995468139,4.79329490661621,4.65508985519409,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IBRD only,IBD,..,3.84054005146027,4.21499490737915,4.25407981872559,3.96384087403915,3.99025737385251,3.94555997848511,4.30487012863159,4.04323350069167,3.59897994995117,3.64066817034714,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA & IBRD total,IBT,..,3.24232494831085,3.83402991294861,3.85049560792469,3.75090503692627,3.75143003463745,3.75902209369218,4.01641864383637,3.76686919289078,3.5056539313726,3.42617011070252,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA blend,IDB,..,2.40031003952026,3.31647992134094,4.40353549122142,3.73654007911682,3.03096008300781,3.33011705158194,3.71980683449924,3.14335470187693,2.72738253259215,3.34005209256916,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA only,IDX,..,2.5650200843811,3.59894990921021,3.25593495368958,3.53460991382599,3.50387001037598,3.23821222605582,3.29376565416048,3.15661438703005,3.08249624893127,3.21562023947166,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA total,IDA,..,2.51418507099152,3.49412989616394,3.35870993137359,3.53558993339539,3.32295989990234,3.24716413970868,3.37112868540092,3.15661438703005,3.06772823003204,3.22974322056608,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Late-demographic dividend,LTE,..,3.85399007797241,4.47038984298706,4.36420011520386,4.41787004470825,4.4217050075531,4.26779985427856,4.44620380169618,4.4231769782443,4.31372976303101,4.00127983093262,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latin America & Caribbean,LCN,..,3.75707006454468,4.44749157539063,4.41408840162469,4.40769505500793,4.46145347505506,4.51069021224976,4.53030931019986,4.08717467298944,3.84722961564427,3.7606477375256,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latin America & Caribbean (excluding high income),LAC,..,3.65995502471924,4.7606348991394,4.47059336645318,4.46651506423951,4.46145347505506,4.51069021224976,4.54901954970835,4.08717467298944,3.83315992355347,3.82714889622862,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,3.63414001464844,4.44749157539063,4.41408840162469,4.40769505500793,4.46145347505506,4.51069021224976,4.53030931019986,4.08717467298944,3.81658744264708,3.58356891251738,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Least developed countries: UN classification,LDC,..,2.5650200843811,3.25902009010315,2.92876505851746,3.05208992958069,3.19835495948792,2.91074046615192,3.06497843916225,3.07085166362803,2.89168744551701,3.20149725837724,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Low & middle income,LMY,..,3.24232494831085,3.75712072134646,3.83786775234949,3.73344993591309,3.69960999488831,3.57594314256335,3.91176009178162,3.64776992797852,3.44776888059898,3.51480007171631,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Low income,LIC,..,2.64609491825104,3.23683137220686,2.68719005584717,2.76899003982544,3.19835495948792,3.23821222605582,3.29376565416048,3.5099168512537,2.97970783777452,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lower middle income,LMC,..,2.53544008731842,3.89557575464877,3.92909502983094,3.73344993591309,3.69960999488831,3.40748649142134,3.65287360437751,3.31281536274069,3.19562257696233,3.42617011070252,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Middle East, North Africa, Afghanistan & Pakistan",MEA,..,..,3.71272133351629,4.23311507701874,4.03832006454468,3.75143003463745,3.86020994186401,3.98417997360229,..,4.30123996734619,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,..,..,3.71272133351629,3.92226004600525,3.73344993591309,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,..,..,3.65583562136325,3.68754005432129,3.59650993347168,3.61979007720947,3.24005007743835,3.55303483980158,..,3.15300011634827,3.51486315596325,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Middle income,MIC,..,3.50979995727539,4.09650015830993,4.08114004135132,3.92578873061175,3.85502760745456,3.82985997200012,3.94374100561712,3.64776992797852,3.5056539313726,3.51486315596325,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,North America,NAC,5.96922016143799,5.42331981658935,4.83500504493714,4.79984998703003,5.02646994590759,4.89199995994568,4.86520004272461,5.14163494110107,5.08449006080627,4.88021993637085,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,OECD members,OED,4.57794499397278,4.66695022583008,4.93063020706177,4.8338451385498,4.86288022994995,4.8889799118042,4.94613003730774,5.29139995574951,5.12611985206604,4.99167513847351,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Other small states,OSS,3.12822008132935,5.33945989608765,5.20310861907593,5.24433654170614,5.28924489021301,5.13962984085083,5.16293001174927,5.32546270122803,5.08243989944458,5.02409982681275,5.00431592836751,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Post-demographic dividend,PST,4.5553297996521,4.86840009689331,4.91245007514954,4.94654989242554,4.89189004898071,4.88649487495423,4.94613003730774,5.28408002853394,5.08859992027283,4.99167513847351,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Pre-demographic dividend,PRE,..,2.46250998973847,3.23683137220686,2.89910006523132,3.29760992527008,3.21164989471436,3.24716413970868,3.24270320512235,3.10528051699067,2.89168744551701,3.24413772101569,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Small states,SST,3.39117503166199,4.52924990653992,5.05127000808716,5.05511999130249,4.87887001037598,4.90705490112305,4.85244011878967,4.83895129079956,4.87697505950928,4.84085988998413,4.78597787804789,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,South Asia,SAS,1.96502494812012,2.9751501083374,2.68450009822846,3.5662499666214,3.44930994510651,3.22925735140142,3.89212886881753,3.1916501133819,3.29945958568872,3.09202235990416,2.16213826344701,2.86143825839217
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,South Asia (IDA & IBRD),TSA,1.96502494812012,2.9751501083374,2.68450009822846,3.5662499666214,3.44930994510651,3.22925735140142,3.89212886881753,3.1916501133819,3.29945958568872,3.09202235990416,2.16213826344701,2.86143825839217
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sub-Saharan Africa,SSF,..,2.64609491825104,3.65860497951508,3.28257989883423,3.53558993339539,3.44956994056702,3.4130699634552,3.59794998906911,3.31281536274069,3.0972642678305,3.25853222146531,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sub-Saharan Africa (excluding high income),SSA,..,2.64547991752625,3.64711999893189,3.18867993354797,3.53460991382599,3.38626492023468,3.33011705158194,3.40915991351725,3.25544539195647,3.08249624893127,3.29929215701724,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,2.64609491825104,3.65860497951508,3.28257989883423,3.53558993339539,3.44956994056702,3.4130699634552,3.59794998906911,3.31281536274069,3.0972642678305,3.25853222146531,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Upper middle income,UMC,..,3.90146005153656,4.26455998420716,4.46397668804552,4.06897020339966,4.0339723740051,4.04363430268776,4.29654002189636,3.88806009292603,3.58951497077942,3.66082501411437,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,World,WLD,..,3.78288507461548,4.21646022796631,4.21428227509361,4.07755994796753,4.15046977996826,4.15776014328003,4.34224486351013,4.23262732662743,3.84722961564427,3.51483161383978,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 10/07/2025,,,,,,,,,,,,,,,
