Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Djibouti,DJI,..,9.65999984741211,3.59894990921021,3.92226004600525,3.73344993591309,3.75143003463745,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Dominica,DMA,..,..,3.40711998939514,5.12971951862684,4.71605005720456,5.1536046272165,5.53449010848999,4.69630002975464,5.71689183034862,6.04314243406571,4.69423746286593,5.38572189060925
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Dominican Republic,DOM,..,1.88829004764557,3.60400277306673,3.85049560792469,3.92026752279272,3.92849467476802,4.04276873126053,4.51769850778985,3.58043271614957,3.61088872070271,3.7606477375256,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Ecuador,ECU,..,1.20265996456146,5.10570001602173,4.46397668804552,4.60667733499397,4.6250260585881,4.2457799911499,4.26103019714355,3.64776992797852,3.59897994995117,3.89365005493164,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,El Salvador,SLV,..,2.8386800289154,3.90987992286682,3.82523989677429,3.7252299785614,3.60575008392334,3.38710999488831,3.66088008880615,3.57766008377075,3.25634002685547,3.17218995094299,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Estonia,EST,..,5.33945989608765,5.05127000808716,5.05511999130249,4.86288022994995,5.13962984085083,5.16415023803711,5.44180011749268,5.21514987945557,5.20733976364136,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Eswatini,SWZ,5.48457002639771,5.50848007202148,5.35494723006471,5.43355309210979,6.177914116856,5.73687354676617,5.69914824136892,5.32546270122803,5.28714899285221,5.57274175738511,5.00431592836751,6.03082905337534
